'Elapsed time','MLII','V5'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.145,-0.065
'0:00.003',-0.145,-0.065
'0:00.006',-0.145,-0.065
'0:00.008',-0.145,-0.065
'0:00.011',-0.145,-0.065
'0:00.014',-0.145,-0.065
'0:00.017',-0.145,-0.065
'0:00.019',-0.145,-0.065
'0:00.022',-0.120,-0.080
'0:00.025',-0.135,-0.080
'0:00.028',-0.145,-0.085
'0:00.031',-0.150,-0.085
'0:00.033',-0.160,-0.075
'0:00.036',-0.155,-0.070
'0:00.039',-0.160,-0.070
'0:00.042',-0.175,-0.065
'0:00.044',-0.180,-0.055
'0:00.047',-0.185,-0.050
'0:00.050',-0.170,-0.050
'0:00.053',-0.155,-0.040
'0:00.056',-0.175,-0.040
'0:00.058',-0.180,-0.055
'0:00.061',-0.190,-0.075
'0:00.064',-0.180,-0.080
'0:00.067',-0.155,-0.085
'0:00.069',-0.135,-0.070
'0:00.072',-0.155,-0.080
'0:00.075',-0.190,-0.080
'0:00.078',-0.205,-0.090
'0:00.081',-0.235,-0.095
'0:00.083',-0.225,-0.090
'0:00.086',-0.245,-0.095
'0:00.089',-0.250,-0.110
'0:00.092',-0.260,-0.120
'0:00.094',-0.275,-0.145
'0:00.097',-0.275,-0.135
'0:00.100',-0.275,-0.105
'0:00.103',-0.265,-0.095
'0:00.106',-0.255,-0.105
'0:00.108',-0.265,-0.120
'0:00.111',-0.275,-0.135
'0:00.114',-0.290,-0.125
'0:00.117',-0.290,-0.125
'0:00.119',-0.290,-0.115
'0:00.122',-0.290,-0.115
'0:00.125',-0.285,-0.125
'0:00.128',-0.295,-0.140
'0:00.131',-0.305,-0.140
'0:00.133',-0.285,-0.130
'0:00.136',-0.275,-0.125
'0:00.139',-0.275,-0.140
'0:00.142',-0.280,-0.145
'0:00.144',-0.285,-0.150
'0:00.147',-0.305,-0.150
'0:00.150',-0.290,-0.130
'0:00.153',-0.300,-0.115
'0:00.156',-0.280,-0.125
'0:00.158',-0.290,-0.135
'0:00.161',-0.300,-0.160
'0:00.164',-0.315,-0.195
'0:00.167',-0.320,-0.200
'0:00.169',-0.335,-0.205
'0:00.172',-0.360,-0.225
'0:00.175',-0.385,-0.255
'0:00.178',-0.385,-0.300
